BRIDGE NO.,LATITUDE,LONGITUDE,VINTAGE,Bridge Length,Spans,SKEW ANGLE,PRIMARY FUNCTION,Pier Type,Support Description,BRIDGE PRIMARY MATERIAL,Superstructure Type,ROAD CLASS,M Truck,Tandem,Triple Axle,Quad Axle,484 Quad Axle,T44 (%),HLP 320 (%),HLP 400 (%),MS 1600 (%),OVERALL WIDTH,WIDTH BETWEEN KERB,NO. OF TRAFFIC LANES,NO. OF FOOTPATHS,Earthquake design,Longest Span,Structure Type,HAZUS_CLASS,K3d,Ishape,Kskew,road
0631A,-31.554069,116.47813,2002-02-25,171.1,6,20,Road Bridge,Driven RC piles,Continuous,Prestressed Concrete,Integral Beam & Slab,3,0.0,74.0,78.0,100.0,100.0,240,0,0,130.0,12.45,8.2,2,1,False,28.516666666666666,Prestressed,HWB22,1.055,1.0,0.9693774397962376,Goomalling-Toodyay Rd
0632A,-31.54687,116.49326,1945-01-01,20.14,3,0,Road Bridge,Driven RC piles,Continuous,Reinforced Concrete,Solid Flat Slab,3,0.0,37.2,44.8,51.1,61.9,163,158,0,112.0,9.9,9.0,2,0,False,6.713333333333334,Concrete,HWB24,1.1,0.0,1.0,Goomalling-Toodyay Rd
0633A,-31.52866,116.51323,1934-12-30,14.65,2,0,Road Bridge,Driven RC piles,Continuous,Reinforced Concrete,Solid Flat Slab,3,0.0,31.6,36.4,42.8,51.1,147,134,0,100.0,9.9,9.0,2,0,False,7.325,Concrete,HWB24,1.2,0.0,1.0,Goomalling-Toodyay Rd
0634,-31.48386,116.619179,1962-01-01,16.07,2,0,Road Bridge,Driven Timber Pile,Simply Supported,Timber,Round Timber,3,10.0,18.0,27.0,36.0,36.0,100,0,0,0.0,8.75,8.23,2,0,False,8.035,Timber,HWB24,1.2,0.0,1.0,Goomalling-Toodyay Rd
0637,-31.352045,116.766068,1951-01-01,25.25,4,0,Road Bridge,Solid Wall,Simply Supported,Timber,Round Timber,3,10.0,18.0,27.0,36.0,36.0,100,89,79,67.0,8.3,8.0,2,0,False,6.3125,Timber,HWB24,1.0666666666666669,0.0,1.0,Goomalling-Toodyay Rd
0752,-31.646803,116.674957,1933-01-01,73.4,12,0,Road Bridge,Driven Timber Pile,Simply Supported,Timber,Round Timber,3,10.0,18.0,27.0,36.0,36.0,100,100,100,0.0,10.63,8.07,2,1,False,6.116666666666667,Timber,HWB24,1.018181818181818,0.0,1.0,State Route 115
0753,-31.609039,116.690537,1935-01-01,86.6,14,0,Road Bridge,Driven Timber Pile,Simply Supported,Timber Hybrid,Round Timber,3,10.0,18.0,27.0,36.0,36.0,100,99,100,0.0,8.42,8.14,2,0,False,6.185714285714285,Timber,HWB24,1.015384615384615,0.0,1.0,State Route 115
0754,-31.608055,116.691872,1935-01-01,7.18,1,0,Road Bridge,,Simply Suported,Timber Hybrid,Round Timber,3,10.0,18.0,22.0,26.0,35.0,100,0,0,0.0,9.75,9.4,2,0,False,7.18,Timber,HWB3,1.0,1.0,1.0,State Route 115
0761,-31.492076,116.753771,1932-01-01,39.45,5,0,Road Bridge,Driven Timber Pile,Simply Supported,Timber,Round Timber,3,10.0,18.0,27.0,36.0,36.0,100,0,0,0.0,8.84,8.24,2,0,False,7.890000000000001,Timber,HWB24,1.05,0.0,1.0,State Route 115
0762,-31.467285,116.775291,1940-01-01,12.9,2,0,Road Bridge,Driven Timber Pile,Simply Supported,Timber Hybrid,Round Timber,3,25.0,28.0,36.0,45.0,54.0,146,134,114,0.0,8.62,8.36,2,0,False,6.45,Timber,HWB24,1.2,0.0,1.0,State Route 115
