BRIDGE NO.,LATITUDE,LONGITUDE,HAZUS_CLASS,K3d,Kskew,Ishape,Slight,Moderate,Extensive,Complete
0613,-31.642897,116.697029,HWB24,1.025,1.0,0.0,0.17123210530537664,0.06969249011990272,0.05073257699027856,0.011529891501777712
0615,-31.632269,116.759158,HWB24,1.2,0.9396529108447048,0.0,0.13261472313576986,0.028585881890713608,0.01564045757019454,0.002292485533514888
0616,-31.63002,116.7925,HWB24,1.2,0.9439314192187734,0.0,0.008477176903120916,0.000706760682262751,0.0001924548326038183,9.610200728800707e-06
0617,-31.651083,116.990944,HWB24,1.0666666666666669,1.0,0.0,0.050808824867431886,0.009984739603658113,0.004267505475534371,0.00042826356357985424
0627,-31.491711,118.240387,HWB24,1.04,1.0,0.0,0.0002050947258830343,1.493019944472298e-05,2.537863873258216e-06,6.012910952045298e-08
0628,-31.484246,118.293252,HWB24,1.2,1.0,0.0,0.00017096692357879587,3.923695343780961e-06,5.819285074465398e-07,1.1072500517140525e-08
0631A,-31.554069,116.47813,HWB22,1.055,0.9693774397962376,1.0,0.004520136278009758,0.000344506476626381,0.0001229084016933023,1.6546643016579727e-05
0632A,-31.54687,116.49326,HWB24,1.1,1.0,0.0,0.09834672531776913,0.020923208649169127,0.010565706876559859,0.001369550392811635
0633A,-31.52866,116.51323,HWB24,1.2,1.0,0.0,0.08681412226881136,0.011280486759607843,0.00494669722251717,0.0005163948130999162
0634,-31.48386,116.619179,HWB24,1.2,1.0,0.0,0.04895945754795171,0.005034481694145439,0.001882345479583952,0.00015374722759827403
0637,-31.352045,116.766068,HWB24,1.0666666666666669,1.0,0.0,0.02455378751871517,0.0038912104829238077,0.0013887899301231093,0.0001055778160008807
0638,-31.655542,116.666542,HWB24,1.0083333333333333,1.0,0.0,0.2060942983564244,0.10798498500997983,0.09644483677067471,0.0301062058631152
0639,-31.198231,117.028175,HWB24,1.2,1.0,0.0,0.00019743436823391525,4.668459247341649e-06,7.043744183807983e-07,1.3778654518834015e-08
0641,-31.593877,117.716924,HWB24,1.1,1.0,0.0,3.705073865297218e-05,1.3070623380769188e-06,1.7451344146039338e-07,2.8011664268227457e-09
0692,-31.591976,116.475767,HWB3,1.0,0.7071067811865475,1.0,-0.002638597737282158,0.0034673008972453175,0.0020220985465183874,0.00032790337917248366
0693,-31.575129,116.480667,HWB24,1.2,1.0,0.0,0.014763842846081145,0.0010127788174171394,0.0002906780121969861,1.575691514659225e-05
0694,-31.57281,116.48028,HWB22,1.11,0.8752396489642011,1.0,0.006566817708288741,0.0007818626769159711,0.00030626288344765636,4.737248023178122e-05
0695,-31.549834,116.463616,HWB15,1.0045454545454546,1.0,1.0,9.227815026783106e-05,-0.0,0.0012898073168225207,0.00014782075244851577
0697,-31.50809,116.451717,HWB3,1.0,1.0,1.0,0.0003167135601236593,6.44644511952116e-05,2.3899198410338207e-05,1.8338216206463295e-06
0698,-31.499535,116.443414,HWB24,1.2,1.0,0.0,0.057115559256254514,0.00623285778166595,0.0024255395133245396,0.00021071834438322721
0702,-31.34054,116.52552,HWB24,1.2,1.0,0.0,0.0001457266410307156,3.2363658343768327e-06,4.710316442237126e-07,8.693903872648041e-09
0704,-31.266098,116.506447,HWB24,1.2,1.0,0.0,0.004408125955304803,0.00021473883352327264,4.97586798560954e-05,1.928722069189649e-06
0705,-31.115164,116.457731,HWB24,1.2,0.98901344820675,0.0,0.0010084620130172046,3.692544982564691e-05,6.928571245924378e-06,1.9223485540690486e-07
0708,-31.459333,116.434021,HWB24,1.1,1.0,0.0,0.03306670614070749,0.004783597834466246,0.001771852928681736,0.00014264425776806266
0714,-32.05766,117.4258,HWB24,1.2,1.0,0.0,0.0033914579582327545,0.0001542895811828016,3.428654444444366e-05,1.2441139193117215e-06
0715,-32.05896,117.42817,HWB24,1.05,1.0,0.0,0.0031490624748816702,0.0003438519220138041,8.474433836108504e-05,3.6194625227519844e-06
0717,-32.07464,117.53966,HWB3,1.0,0.9828152554214186,1.0,8.455899097751083e-07,1.4315415651119645e-07,3.2979472171096055e-08,1.1416649330199717e-09
0729,-32.10722,116.929726,HWB24,1.015384615384615,1.0,0.0,0.008069395283325734,0.0013326469729086194,0.0003987086686728661,2.3057825097364763e-05
0730,-32.045784,117.009361,HWB24,1.2,0.9520019889877592,0.0,0.015783744174408153,0.001477644752461483,0.0004492097766447832,2.6632094876585658e-05
0752,-31.646803,116.674957,HWB24,1.018181818181818,1.0,0.0,0.20016385932705016,0.09548966060161629,0.0798692370855246,0.02250763706854261
0753,-31.609039,116.690537,HWB24,1.015384615384615,1.0,0.0,0.13849264433357822,0.05259679934864012,0.03455654239754449,0.006706730708416867
0754,-31.608055,116.691872,HWB3,1.0,1.0,1.0,0.002619313655875655,0.0007658771730988338,0.00036751402127946646,4.318656384361235e-05
0761,-31.492076,116.753771,HWB24,1.05,1.0,0.0,0.03438796596898596,0.006561000968591571,0.002578456377481897,0.00022742001693382559
0762,-31.467285,116.775291,HWB24,1.2,1.0,0.0,0.027275667243957483,0.0022772129972996012,0.0007418326202139881,4.896420883147192e-05
0763A,-31.43251,116.79497,HWB24,1.0666666666666669,1.0,0.0,0.043531486697376165,0.008145813163270491,0.003340042057618243,0.0003144735684215506
0765,-31.295433,116.830734,HWB3,1.0,1.0,1.0,1.7360688189860704e-08,1.7859167762907422e-10,2.7775199077924308e-11,4.905093907833355e-13
0829,-31.95641,116.15898,HWB24,1.0666666666666669,1.0,0.0,0.01047264264965558,0.0013375180412047811,0.000400390616590024,2.3175320379497086e-05
0897,-31.930452,116.921684,HWB24,1.0285714285714285,1.0,0.0,0.09402127245638114,0.02802186403912581,0.015250158916121068,0.002217048087544391
0898,-31.94339,116.949249,HWB24,1.04,1.0,0.0,0.07737364798538592,0.020171037751691455,0.01009500215398688,0.0012906834059650681
1006,-31.540028,118.067604,HWB24,1.0666666666666669,1.0,0.0,0.00044041320896671976,2.9900822123420395e-05,5.479936588194105e-06,1.4643957235157152e-07
1007,-31.539352,118.069534,HWB24,1.0666666666666669,1.0,0.0,0.00044041320896671976,2.9900822123420395e-05,5.479936588194105e-06,1.4643957235157152e-07
1046,-31.71899,116.5249,HWB22,1.165,0.998781282493732,1.0,0.2339595114635138,0.0382153646133992,0.02819592469022892,0.011606612984794262
1047,-31.69549,116.57024,HWB3,1.0,0.9050701874932088,1.0,0.03535034487822353,0.03647147674922668,0.03293439197990687,0.011131648632325701
1050,-31.523623,118.147209,HWB24,1.0285714285714285,1.0,0.0,0.0003154073684533772,2.675781042821456e-05,4.844154397504406e-06,1.2694086109521987e-07
1051,-31.203468,116.824501,HWB3,1.0,1.0,1.0,5.00709206103851e-07,6.319789095805679e-08,1.3803194229971093e-08,4.365110037886909e-10
1065,-31.689432,117.252159,HWB24,1.0666666666666669,0.9306048591020996,0.0,0.000550198032953545,6.680266874405201e-05,1.3416563277989391e-05,4.14764153565731e-07
1149,-31.637942,116.757497,HWB24,1.04,0.8752396489642011,0.0,0.011192510879600513,0.00417032004718004,0.0015068619911669245,0.00011675537106577762
1150,-31.63351,116.79543,HWB22,1.11,0.9306048591020996,1.0,0.004451398825912915,0.0003167470883921523,0.00011197308824623082,1.4871023406227106e-05
1153,-31.634243,116.81752,HWB24,1.1,0.98901344820675,0.0,0.08126353808422133,0.016948599733459954,0.008137609913088482,0.0009763127484106536
1154,-31.636616,116.864532,HWB15,1.0166666666666666,0.8620584814717586,1.0,-0.0006103787072741225,-0.0,0.00113049024487923,0.0001260693593108163
1463,-31.62058,116.68643,HWB3,1.0,1.0,1.0,0.003337982990680273,0.001005890893751713,0.000498631223165106,6.182124293234282e-05
1464,-31.619541,116.681264,HWB17,1.0833333333333333,0.9557957196193132,0.0,0.1624150005365878,0.060480567677310255,0.04173013554355414,0.008732412868796282
1465,-31.619176,116.67979,HWB3,1.0,1.0,1.0,0.003733637012285063,0.0011412644398427724,0.0005745208576551834,7.306398057575127e-05
1466,-31.626256,116.661165,HWB17,1.25,1.0,0.0,0.2477424480087515,0.049312845776229824,0.03170926261121535,0.005954000809127439
1467,-31.635873,116.64778,HWB22,1.04125,1.0,1.0,0.0344338984718084,0.004094613152808209,0.0019933614468323237,0.00042758117167561845
1468,-31.638121,116.644818,HWB3,1.0,0.8876996978746371,1.0,0.005269091579978459,0.005299186227562928,0.0032911066509769423,0.0005923228724226148
1469,-31.642431,116.640679,HWB3,1.0,1.0,1.0,0.009168302482844858,0.00316904749984474,0.001824666984579793,0.0002896903636715533
1504,-31.636718,116.646667,HWB3,1.0,0.9980955355534588,1.0,0.008407954387238355,0.002912186188403226,0.0016569988700600906,0.00025795951069464504
3195A,-32.116654,116.83575,HWB24,1.0285714285714285,1.0,0.0,0.07874146032693206,0.021954105144052327,0.011219067156813582,0.001481023096638519
3197,-32.16552,116.798316,HWB24,1.0666666666666669,1.0,0.0,0.031126544426698807,0.005270805545632499,0.001987484277055477,0.00016447145904943328
3205,-32.12429,116.96254,HWB24,1.2,0.893664092401218,0.0,0.005938500469745667,0.0006437475069086021,0.0001729746878327401,8.459301669725138e-06
3208A,-32.082612,116.8817,HWB24,1.022222222222222,1.0,0.0,0.07835628850334017,0.022571468419001765,0.011614834571828716,0.0015496547189468176
3209,-32.137977,117.091006,HWB3,1.0,1.0,1.0,2.9705826488297e-05,5.536712470570964e-06,1.6619416719933359e-06,8.976741775343454e-08
3210,-32.097676,116.749643,HWB24,1.2,1.0,0.0,0.09106213413631127,0.012088234476860749,0.005380155070659594,0.0005745891801608201
3211,-32.121927,116.767929,HWB24,1.1,1.0,0.0,0.06175275352795201,0.01096969039631605,0.0047819438295680985,0.0004946662956890675
3213A,-32.03971,116.96697,HWB24,1.2,1.0,0.0,0.024505401027545923,0.001974184945804924,0.0006283435664809264,4.0004979050897224e-05
3220B,-31.986227,117.041477,HWB3,1.0,1.0,1.0,0.00013100350844403425,2.7876999009702188e-05,9.578154468509212e-06,6.478606985093082e-07
4046,-31.09493,116.44419,HWB24,1.1,1.0,0.0,3.761163960613976e-05,1.330033958775142e-06,1.7786867670364994e-07,2.8625442298426334e-09
4050,-31.28038,116.50556,HWB24,1.2,1.0,0.0,5.469636107559948e-05,9.992456873827434e-07,1.3014422420237316e-07,2.0064547843602473e-09
4053,-32.022498,117.841539,HWB24,1.2,1.0,0.0,2.5053888225194112e-05,3.9446563045982913e-07,4.725649697243259e-08,6.358484540353102e-10
4055,-31.910862,117.838798,HWB24,1.2,1.0,0.0,0.000987856940423313,3.3259312179104034e-05,6.168024901246555e-06,1.6796878451469483e-07
4056,-32.17378,118.13187,HWB24,1.2,1.0,0.0,0.00037810139060055097,1.0264321956104321e-05,1.6775140273805668e-06,3.7317316634025824e-08
4059A,-31.928774,117.980988,HWB24,1.1,1.0,0.0,0.0006358773559568613,3.6692600858898004e-05,6.879989096199486e-06,1.906708694588488e-07
4061,-32.04938,118.15783,HWB24,1.1,1.0,0.0,6.755954136892824e-06,1.8363797531939805e-07,2.0589174829425788e-08,2.4859583663915357e-10
4065A,-31.95424,117.92321,HWB24,1.2,1.0,0.0,2.3981926968598915e-07,1.7116476979413248e-09,1.3304778801268614e-10,8.7729020851406e-13
4069A,-31.480372,118.286722,HWB3,1.0,0.9723777946864668,1.0,1.499757773056835e-08,2.2304060234026794e-09,3.9820463445267656e-10,8.923395372534725e-12
4070,-31.477671,118.278679,HWB24,1.2,1.0,0.0,0.00017884456687026313,4.142910637924072e-06,6.177385229467983e-07,1.1855835435683904e-08
4071,-31.478167,118.275993,HWB24,1.2,1.0,0.0,0.00017884456687026313,4.142910637924072e-06,6.177385229467983e-07,1.1855835435683904e-08
4072,-31.47801208,118.2733078,HWB24,1.2,1.0,0.0,0.0001870916734473097,4.374664310102913e-06,6.558102725030556e-07,1.2696134165959716e-08
4080,-31.530431,116.419293,HWB24,1.0105263157894735,1.0,0.0,0.06411313160226954,0.01840306662233373,0.009009001927771133,0.0011134870777107068
4081,-31.412107,116.476982,HWB24,1.1,1.0,0.0,0.019447369767871724,0.0024130340995862235,0.0007936227206749217,5.3163969409185594e-05
4083,-31.49259,116.50363,HWB24,1.1,0.9972571861702844,0.0,0.04973493903878914,0.008320606296411587,0.0034262559323592163,0.00032470841780102224
4084,-31.57167,116.51613,HWB24,1.0076923076923077,1.0,0.0,0.01107553914797198,0.0020543808058831187,0.0006580912818496931,4.2319584621759775e-05
4085,-31.530892,116.450282,HWB24,1.0333333333333334,1.0,0.0,0.06938203262073406,0.01803297106026462,0.00878535642540888,0.001077845806636814
4087,-31.485036,116.513536,HWB3,1.0,1.0,1.0,0.00022516948533668572,4.330261661089227e-05,1.547572362283144e-05,1.1174531470367704e-06
4088,-31.476534,116.438183,HWB24,1.05,1.0,0.0,0.039972480647022676,0.007967930659044923,0.0032527414218798422,0.00030418522733339305
4089,-31.326344,116.517886,HWB24,1.1,1.0,0.0,0.008023863045184819,0.0007928172017664643,0.00021949763866793172,1.1248198524107555e-05
4090A,-31.580011,116.365379,HWB24,1.2,1.0,0.0,0.11901615027796,0.017940659124280098,0.008729775382569036,0.0010690342275933332
4091,-31.655965,117.009714,HWB24,1.2,1.0,0.0,0.05054058707454606,0.005260236995389741,0.0019827608755490595,0.00016398641225856905
4092,-31.62308,117.005837,HWB24,1.0666666666666669,1.0,0.0,0.005349060381446492,0.0005868279485268831,0.00015562970642067156,7.456755514745972e-06
4093A,-31.65936,117.739748,HWB24,1.0333333333333334,1.0,0.0,3.498004543972762e-05,2.0728750857176235e-06,2.890325909917118e-07,4.977354197338765e-09
4096,-31.603495,117.730424,HWB24,1.2,1.0,0.0,3.6624432151929984e-05,6.194454036462115e-07,7.724861895874563e-08,1.1097023589249392e-09
4102,-31.74205,116.56086,HWB3,1.0,0.8752396489642011,1.0,0.053797027352669446,0.09574824572230961,0.12328106354330065,0.07833089796537795
4103,-31.72473,116.53498,HWB3,1.0,1.0,1.0,0.0798852933672512,0.04243349061431745,0.039909627430956676,0.014469821007639645
4108,-31.712263,116.837373,HWB24,1.0666666666666669,1.0,0.0,0.15695370423771488,0.048936663559453634,0.03138834502700907,0.0058710243216094525
4109,-31.57751,116.63396,HWB24,1.04,1.0,0.0,0.12818381159492098,0.04112933447261185,0.024970642436638286,0.004292960183330076
4112,-31.70727,116.6152,HWB24,1.0666666666666669,1.0,0.0,0.22849315162519457,0.16587373489490953,0.2432401065841885,0.16896437868013514
4113,-31.698854,116.610554,HWB3,1.0,1.0,1.0,0.056505214095337826,0.027294093753866665,0.0229619337587689,0.006875597642047157
4114,-31.630009,116.63976,HWB24,1.0666666666666669,1.0,0.0,0.2073176235779013,0.07782679900507924,0.059264659902853255,0.014439482299276392
4116A,-31.616286,116.553182,HWB24,1.1,1.0,0.0,0.03847847452212602,0.005834122610116437,0.0022420795037122604,0.00019105310406126276
4117,-31.544553,116.640948,HWB24,1.2,1.0,0.0,0.0971127146986947,0.013275638276536552,0.006030735580614885,0.0006646133585063805
4121,-31.741723,116.583772,HWB26,1.0333333333333334,1.0,1.0,0.021319905169124964,-0.0,0.21548330835962792,0.19035933775922198
4124,-31.565332,116.654442,HWB24,1.05,0.9306048591020996,0.0,0.09886012172127066,0.04019340785280939,0.02423242030104047,0.004121605417223222
4126A,-31.540072,116.819142,HWB24,1.2,1.0,0.0,0.006993813643083908,0.00038606822293335043,9.664199300905439e-05,4.229775546977204e-06
4128,-31.637928,116.792915,HWB17,1.125,0.9662196574781544,0.0,0.10956157170276729,0.025962982292853064,0.013847594939503813,0.0019518819950937465
4140,-31.86833,117.38283,HWB24,1.2,1.0,0.0,0.004669744738803994,0.00023098684578780066,5.4028498731870816e-05,2.1254311351715165e-06
4142,-32.109221,117.379977,HWB24,1.0285714285714285,1.0,0.0,0.0001604333794633952,1.2280005639904916e-05,2.044812290734827e-06,4.687339079017657e-08
4143,-31.947191,117.412758,HWB24,1.0666666666666669,0.9951221375999884,0.0,0.00016769240602812878,1.0067827345022057e-05,1.64210710763373e-06,3.641233816038586e-08
4145,-31.961743,117.478126,HWB24,1.2,0.9306048591020996,0.0,0.00011630566574400214,4.388966445774148e-06,6.581667512181343e-07,1.2748390525020524e-08
4146,-31.955964,117.474864,HWB3,1.0,1.0,1.0,1.844683591025996e-08,1.0202966108596053e-09,1.743356763990862e-10,3.6224378575686275e-12
4148,-32.031179,117.318328,HWB3,1.0,1.0,1.0,1.4374568753930346e-09,1.3421825403718824e-11,1.8302403818138295e-12,2.5712678341891293e-14
4149,-31.86162447,117.1504871,HWB24,1.1,1.0,0.0,0.0017558622613439046,0.00012379552796133638,2.677054131613861e-05,9.304443165905662e-07
4151,-31.823687,117.083763,HWB24,1.0666666666666669,1.0,0.0,0.03151404172588384,0.00535539195664635,0.0020253602197859272,0.00016837185988414447
4152,-31.78123,116.9304,HWB24,1.0666666666666669,1.0,0.0,0.09167814892714718,0.022245027352610865,0.011405149365459265,0.0015131894054223008
4153,-32.06848,116.70796,HWB24,1.1,1.0,0.0,0.19808275322722446,0.06108817743442403,0.04230307082195231,0.008902047322549527
4154,-31.770967,116.702995,HWB24,1.2,0.9662196574781544,0.0,0.3088467636679147,0.1511670431078473,0.1761083234564374,0.08378260399045062
4156,-31.809763,116.79253,HWB24,1.011764705882353,1.0,0.0,0.15009686757472074,0.06070662487180889,0.04194295342319258,0.008795289595110407
4157,-31.752272,116.885364,HWB24,1.1,1.0,0.0,0.12499783979815868,0.029620712029420106,0.01636327255793501,0.0024340462313374167
4158,-31.752083,116.885721,HWB3,1.0,1.0,1.0,0.001418052513944235,0.00038559910653192275,0.00017120923079520813,1.7699612031517173e-05
4161A,-31.976974,116.810496,HWB24,1.0333333333333334,1.0,0.0,0.17107932635212397,0.0665240684962591,0.04755905730069369,0.01051166131854187
4164,-31.940134,116.814631,HWB24,1.04,1.0,0.0,0.18628075182317683,0.0740561611015918,0.055239507042331944,0.013035611223247971
4165,-31.965277,116.991386,HWB24,1.2,0.8408964152537145,0.0,0.05386357155438998,0.014754973782169932,0.006862625918517558,0.000784147639995106
